epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,472.778,1.10944,1.70631,1.18805,0.80658,0.375,0.43438,0.1539,2.67374,4.01449,2.1477,0.000584844,0.000584844,0.000584844
45,483.826,1.09624,1.73183,1.16353,0.84119,0.375,0.40344,0.17988,2.38251,3.80833,1.92757,0.000569375,0.000569375,0.000569375
46,494.495,1.13204,1.83387,1.25098,0.85212,0.375,0.40344,0.18097,2.63175,3.60216,2.02825,0.000553906,0.000553906,0.000553906
47,505.286,1.04919,1.69966,1.2064,0.86195,0.375,0.40344,0.18303,2.76698,3.60495,2.16348,0.000538438,0.000538438,0.000538438
48,516.086,1.08925,1.68747,1.18881,0.8645,0.375,0.41375,0.2058,2.63981,3.49717,2.10582,0.000522969,0.000522969,0.000522969
49,526.988,1.04712,1.77561,1.17149,0.86531,0.375,0.40344,0.19916,2.54132,3.40845,2.06549,0.0005075,0.0005075,0.0005075
50,539.546,1.02872,1.65145,1.13965,0.86483,0.375,0.41375,0.23247,2.35582,3.39517,1.92655,0.000492031,0.000492031,0.000492031
51,550.76,1.00337,1.53677,1.11967,0.86916,0.375,0.41375,0.2497,2.35048,3.56225,1.95847,0.000476562,0.000476562,0.000476562
52,561.627,1.03589,1.55637,1.19797,0.9119,0.375,0.41375,0.24687,2.41722,3.54086,1.9917,0.000461094,0.000461094,0.000461094
53,572.692,0.90361,1.46929,1.10021,0.91097,0.375,0.41375,0.24687,2.5017,3.56335,2.05386,0.000445625,0.000445625,0.000445625
54,583.737,0.92399,1.60593,1.10499,0.88302,0.375,0.40344,0.21971,2.55773,3.58145,2.03825,0.000430156,0.000430156,0.000430156
55,594.539,0.92017,1.45718,1.12093,0.8656,0.375,0.39725,0.20453,2.64763,3.54625,2.14061,0.000414688,0.000414688,0.000414688
56,607.156,1.04179,1.73813,1.17297,0.86212,0.375,0.39725,0.20429,2.60364,3.50429,2.0309,0.000399219,0.000399219,0.000399219
57,619.694,0.91017,1.54564,1.10667,0.29834,0.48325,0.41493,0.218,2.71617,3.47561,2.14188,0.00038375,0.00038375,0.00038375
58,632.474,0.96289,1.61788,1.08828,0.86311,0.375,0.40634,0.21516,2.62868,3.53879,2.06456,0.000368281,0.000368281,0.000368281
59,645.984,0.85435,1.3013,1.04995,0.31212,0.5,0.29418,0.15449,2.53549,3.52644,2.01247,0.000352812,0.000352812,0.000352812
60,658.85,0.8886,1.52649,1.11198,0.30371,0.5,0.29695,0.15052,2.55651,3.44605,2.10542,0.000337344,0.000337344,0.000337344
61,671.587,0.95645,1.47405,1.13673,0.291,0.5,0.298,0.14808,2.46961,3.43168,2.11567,0.000321875,0.000321875,0.000321875
62,684.139,0.91908,1.4306,1.11482,0.35165,0.49258,0.3151,0.12741,2.51075,3.36882,2.1602,0.000306406,0.000306406,0.000306406
63,696.748,0.94657,1.37986,1.07721,0.35525,0.49488,0.43538,0.1783,2.44905,3.2415,2.07127,0.000290937,0.000290937,0.000290937
64,709.236,0.89893,1.41907,1.09234,0.61355,0.49749,0.43438,0.19338,2.39587,3.17981,1.96973,0.000275469,0.000275469,0.000275469
65,721.627,0.79172,1.31784,1.06284,0.61474,0.5,0.43438,0.23261,2.4117,3.22264,1.94966,0.00026,0.00026,0.00026
66,734.005,0.86999,1.4095,1.0674,0.60924,0.5,0.43438,0.23779,2.43556,3.24179,1.91896,0.000244531,0.000244531,0.000244531
67,746.512,0.79622,1.24557,1.00499,0.60233,0.5,0.43438,0.23779,2.44955,3.25838,1.89651,0.000229063,0.000229063,0.000229063
68,759.229,0.79022,1.28678,1.05673,0.59688,0.5,0.43438,0.21706,2.43885,3.38114,1.91027,0.000213594,0.000213594,0.000213594
69,770.356,0.90505,1.55108,1.06102,0.59516,0.5,0.43438,0.21706,2.39576,3.46148,1.95142,0.000198125,0.000198125,0.000198125
70,780.744,0.78473,1.33528,1.02981,0.59882,0.49997,0.43438,0.19633,2.26983,3.64338,1.93463,0.000182656,0.000182656,0.000182656
71,791.16,0.8245,1.59275,1.15592,0.8639,0.375,0.3725,0.19837,2.4212,3.8189,2.08783,0.000167188,0.000167188,0.000167188
72,801.521,0.73975,1.5054,1.07162,0.8636,0.375,0.3725,0.16113,2.54382,3.87536,2.19826,0.000151719,0.000151719,0.000151719
73,811.697,0.79419,1.59572,1.07933,0.86312,0.375,0.3725,0.16113,2.50458,3.84132,2.19639,0.00013625,0.00013625,0.00013625
74,822.071,0.74779,1.48078,1.02499,0.86234,0.375,0.3725,0.15434,2.51964,3.81066,2.2191,0.000120781,0.000120781,0.000120781
75,832.292,0.68293,1.52022,1.01171,0.86127,0.375,0.3725,0.15156,2.5582,3.69684,2.25323,0.000105312,0.000105312,0.000105312
76,842.507,0.75411,1.4822,1.02952,0.85989,0.375,0.39313,0.1777,2.52497,3.59069,2.22592,8.98437e-05,8.98437e-05,8.98437e-05
77,852.616,0.7642,1.47353,1.04898,0.85768,0.375,0.39018,0.1774,2.48506,3.53424,2.18321,7.4375e-05,7.4375e-05,7.4375e-05
78,862.953,0.71914,1.43966,1.01,0.85616,0.375,0.39018,0.17948,2.44181,3.48651,2.1293,5.89062e-05,5.89062e-05,5.89062e-05
79,873.195,0.73459,1.45696,1.04666,0.85469,0.375,0.39018,0.18098,2.45238,3.46299,2.10531,4.34375e-05,4.34375e-05,4.34375e-05
80,883.386,0.70202,1.45973,0.98611,0.85376,0.375,0.39018,0.2036,2.44497,3.46437,2.07244,2.79687e-05,2.79687e-05,2.79687e-05
