epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,670.946,1.00801,1.2756,1.05298,0.95022,0.46925,0.5769,0.29675,2.23407,3.48525,2.01538,0.0005842,0.0005842,0.0005842
44,685.771,0.88617,1.1292,1.01485,0.53297,0.52939,0.59458,0.2346,2.11027,3.61962,1.94092,0.0005743,0.0005743,0.0005743
45,700.054,0.91642,1.18519,1.03482,0.54641,0.57813,0.59458,0.23602,1.94836,3.80294,1.8383,0.0005644,0.0005644,0.0005644
46,714.105,0.97108,1.16036,1.03227,0.51439,0.51298,0.56512,0.20772,1.86379,3.75821,1.65456,0.0005545,0.0005545,0.0005545
47,728.495,0.96746,1.28225,1.06859,0.47415,0.61111,0.54967,0.18381,1.95891,3.88816,1.72617,0.0005446,0.0005446,0.0005446
48,742.921,1.00474,1.23335,1.05547,0.59551,0.66469,0.58633,0.25657,1.94584,3.69774,1.76055,0.0005347,0.0005347,0.0005347
49,757.085,0.95829,1.18434,1.0587,0.69386,0.69686,0.58633,0.25402,1.92754,3.7284,1.80967,0.0005248,0.0005248,0.0005248
50,771.128,0.92024,1.09055,1.0126,0.55862,0.11111,0.34167,0.17701,1.77475,3.88153,1.80159,0.0005149,0.0005149,0.0005149
51,785.36,0.88501,1.03909,1.02673,0.43926,0.11111,0.29059,0.15869,1.75787,3.87468,1.77735,0.000505,0.000505,0.000505
52,799.573,0.97347,1.11269,1.03524,0.82002,0.11111,0.44504,0.14248,1.94077,4.11899,1.8701,0.0004951,0.0004951,0.0004951
53,813.904,0.87709,1.10028,1.01661,0.41356,0.11111,0.30287,0.14739,2.03223,3.89411,1.97389,0.0004852,0.0004852,0.0004852
54,828.224,0.9067,1.10582,1.0362,0.34609,0.44444,0.45283,0.2456,2.21326,3.60941,2.06505,0.0004753,0.0004753,0.0004753
55,842.326,0.90197,1.06468,1.03406,0.41941,0.44444,0.45336,0.24607,2.16969,3.47056,2.04775,0.0004654,0.0004654,0.0004654
56,856.563,0.90313,1.08244,0.98789,0.4369,0.61111,0.54783,0.27408,2.01107,3.22404,1.88773,0.0004555,0.0004555,0.0004555
57,870.646,0.89844,1.11083,1.00274,0.6585,0.61038,0.58083,0.28605,1.93289,3.02264,1.81543,0.0004456,0.0004456,0.0004456
58,884.818,0.87444,1.06523,0.98578,0.59116,0.59624,0.58083,0.33092,1.85833,3.05065,1.73691,0.0004357,0.0004357,0.0004357
59,898.772,0.85832,0.98417,0.99609,0.60382,0.57241,0.59917,0.37342,1.88431,3.13861,1.76215,0.0004258,0.0004258,0.0004258
60,912.715,0.84026,1.00136,0.99422,0.65041,0.53657,0.59917,0.33919,1.86606,3.16552,1.78933,0.0004159,0.0004159,0.0004159
61,926.77,0.83707,0.99301,0.99412,0.52668,0.44444,0.5199,0.35447,1.81997,3.39513,1.75087,0.000406,0.000406,0.000406
62,940.948,0.90872,1.04743,1.0093,0.45361,0.44444,0.51937,0.33715,1.85129,3.27091,1.79438,0.0003961,0.0003961,0.0003961
63,955.099,0.85083,1.02959,1.02652,0.44615,0.44444,0.50123,0.29495,1.92199,3.28328,1.84624,0.0003862,0.0003862,0.0003862
64,969.278,0.80732,1.04303,0.96587,0.87713,0.44444,0.49833,0.299,2.1261,3.35589,1.94241,0.0003763,0.0003763,0.0003763
65,983.362,0.8163,0.9459,0.97462,0.88649,0.44444,0.51667,0.29894,2.21118,3.357,2.01014,0.0003664,0.0003664,0.0003664
66,997.402,0.81215,0.93412,0.94976,0.86537,0.46138,0.58083,0.25795,2.3024,3.22438,2.05229,0.0003565,0.0003565,0.0003565
67,1011.46,0.83785,1.01174,0.98575,0.86444,0.44444,0.55792,0.24423,2.24995,3.16703,1.93549,0.0003466,0.0003466,0.0003466
68,1025.6,0.78504,0.96475,0.95999,0.85951,0.44444,0.53958,0.21513,2.29797,3.03046,2.09801,0.0003367,0.0003367,0.0003367
69,1039.68,0.82963,0.94417,0.97431,0.85979,0.44444,0.53958,0.20403,2.42133,3.15197,2.21562,0.0003268,0.0003268,0.0003268
70,1053.98,0.83542,1.0938,0.98932,0.48761,0.44444,0.51667,0.19933,2.51919,3.27804,2.31048,0.0003169,0.0003169,0.0003169
71,1068.17,0.77443,0.94115,0.94646,0.47266,0.44444,0.48733,0.19717,2.48556,3.37876,2.27136,0.000307,0.000307,0.000307
72,1082.27,0.8246,0.95738,0.95956,0.48678,0.44444,0.51667,0.24356,2.21987,3.41048,1.89797,0.0002971,0.0002971,0.0002971
73,1096.37,0.81879,1.05833,0.9704,0.52513,0.44444,0.49833,0.24917,2.1946,3.27231,1.8761,0.0002872,0.0002872,0.0002872
74,1110.47,0.81011,0.9387,0.9535,0.89448,0.44444,0.49833,0.205,2.26861,3.3291,2.0194,0.0002773,0.0002773,0.0002773
75,1124.95,0.82475,0.95003,0.96136,0.89346,0.44444,0.49833,0.2105,2.30148,3.31863,2.08169,0.0002674,0.0002674,0.0002674
76,1142,0.82259,1.06174,1.0084,0.91064,0.44444,0.47083,0.2229,2.3425,3.14146,2.11824,0.0002575,0.0002575,0.0002575
77,1158.83,0.81767,0.90988,0.97841,0.54661,0.44444,0.46778,0.24476,2.34176,3.19286,2.13783,0.0002476,0.0002476,0.0002476
78,1173.18,0.76488,0.96185,0.97737,0.4098,0.44444,0.54967,0.31362,2.23828,3.40671,2.05103,0.0002377,0.0002377,0.0002377
79,1187.3,0.80254,0.95488,0.97889,0.40845,0.44444,0.54967,0.31376,2.09061,3.42638,1.91475,0.0002278,0.0002278,0.0002278
80,1201.72,0.74308,0.89105,0.93719,0.47002,0.44444,0.53133,0.32159,1.98298,3.308,1.94436,0.0002179,0.0002179,0.0002179
81,1216.65,0.77286,0.91073,0.97119,0.48678,0.44444,0.53133,0.30992,2.02519,3.29223,1.93093,0.000208,0.000208,0.000208
82,1230.76,0.75731,0.90638,0.97071,0.49693,0.44444,0.53133,0.30955,2.06815,3.24459,1.91674,0.0001981,0.0001981,0.0001981
83,1244.75,0.75965,0.94589,0.9443,0.51511,0.44444,0.53133,0.26488,2.07571,3.15643,1.90819,0.0001882,0.0001882,0.0001882
84,1258.87,0.74465,0.94306,0.93246,0.51235,0.44444,0.52583,0.30238,2.05117,3.23662,1.96091,0.0001783,0.0001783,0.0001783
85,1273.04,0.68843,0.82952,0.91659,0.51452,0.44444,0.51483,0.30125,2.02558,3.30411,1.97118,0.0001684,0.0001684,0.0001684
86,1287.19,0.66472,0.78638,0.91264,0.48511,0.44444,0.52033,0.3018,2.07189,3.28269,2.05947,0.0001585,0.0001585,0.0001585
